,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Lucinda Southern,Why More Media Companies Are Looking for C-Suiters Who Understand Bitcoin,"In late March, 98-year-old Time magazine posted a job opening for a new chief financial officer, with one notable qualification: ""comfort with Bitcoin and cryptocurrencies."" In four weeks, more than 600 people had applied on the digital currency job board Cry…",https://www.adweek.com/media/why-more-media-companies-are-looking-for-c-suiters-who-understand-bitcoin/,https://www.adweek.com/wp-content/uploads/2021/04/nyan-cat-comfort-nft-2021-600x315.jpg,2021-05-10T00:00:00Z,"In late March, 98-year-old Time magazine posted a job opening for a new chief financial officer, with one notable qualification: comfort with Bitcoin and cryptocurrencies.  In four weeks, more than 6… [+67 chars]",,Adweek
1,Agence France-presse,SpaceX to launch lunar mission paid with cryptocurrency Dogecoin,"SpaceX will launch a satellite to the Moon next year funded entirely with the cryptocurrency Dogecoin, Canadian company Geometric Energy Corporation, which will lead the lunar mission, announced Sunday.",https://news.abs-cbn.com/business/05/10/21/spacex-to-launch-lunar-mission-paid-with-cryptocurrency-dogecoin,https://sa.kapamilya.com/absnews/abscbnnews/media/2021/reuters/05/10/20210510-dogecoin-cryptocurrency-rtr.jpg?ext=.jpg,2021-05-09T23:50:05Z,"TORONTO - SpaceX will launch a satellite to the Moon next year funded entirely with the cryptocurrency Dogecoin, Canadian company Geometric Energy Corporation, which will lead the lunar mission, anno… [+1329 chars]",,Abs-cbn.com
2,Chuck Brooks,4 Beckoning Cyber-Threat Challenges - Forbes,Mitigating cyber-threats is a societal imperative and cybersecurity has become indispensable to securing our digital future.,https://www.forbes.com/sites/chuckbrooks/2021/05/09/4-beckoning-cyber-threat-challenges/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F60986ece9cb41c6db6c94893%2F0x0.jpg,2021-05-09T23:43:23Z,"A close-up on an abstract design of a display, which is warning about a cyber attack. Multiple rows ... [+] of hexadecimal code are interrupted by red glowing warnings and single character exclamatio… [+11837 chars]",,Forbes
3,Activist Post,Action Alert: Contact U.S. Legislators ASAP to Get 5G Out of National Parks,"By B.N. Frank American opposition to 5G is increasing due to concerns about reduced property value (see 1, 2, 3) and increased energy consumption (see...
Action Alert: Contact U.S. Legislators ASAP to Get 5G Out of National Parks",https://www.activistpost.com/2021/05/action-alert-contact-u-s-legislators-asap-to-get-5g-out-of-national-parks.html,https://www.activistpost.com/wp-content/uploads/2021/05/FCC-Not-Environmental-Agency.jpg,2021-05-09T23:31:23Z,"By B.N. Frank
American opposition to 5G is increasing due to concerns about reduced property value (see 1, 2, 3) and increased energy consumption (see 1, 2) as well as risks to cybersecurity, privac… [+2141 chars]",,Activistpost.com
4,Eric Ital,‘Saturday Night Live’ Ratings See Massive Spike Thanks To Elon Musk,While the quality of Elon Musk’s Saturday Night Live performance has been thoroughly shredded to pieces — some are calling his “Gen Z hospital” sketch the worst in the long-running history of the series — his impact on SNL’s ratings was overwhelmingly positiv…,https://brobible.com/culture/article/saturday-night-live-ratings-elon-musk/,https://brobible.com/wp-content/uploads/2021/05/elon-musk-saturday-night-live.jpeg,2021-05-09T23:27:53Z,"NBC
While the quality of Elon Musk’s Saturday Night Live performance has been thoroughly shredded to pieces — some are calling his “Gen Z hospital” sketch the worst in the long-running history of th… [+1789 chars]",,BroBible
5,Chas Danner,"Dogecoin Survives Musk’s SNL Jokes, Will Fund Moon Mission",It’s been another whacky 48 hours for the internet’s favorite meme/joke crypto which is not supposed to be worth anything but somehow is.,http://nymag.com/intelligencer/2021/05/dogecoin-survives-musks-snl-jokes-will-fund-moon-mission.html,https://pyxis.nymag.com/v1/imgs/c25/fa4/a065004020ca89a9b93fcc583d786b0adb-elon-musk-mom-doge-moon.1x.rsocial.w1200.jpg,2021-05-09T23:26:34Z,"Its been another wacky 48 hours for the internets favorite meme crypto, which is not supposed to be worth anything but somehow is. After reaching another all-time high overnight Friday, the price of … [+5204 chars]",new-york-magazine,New York Magazine
6,Anders Melin,Dogecoin Goes on Wild Weekend Ride as Musk Calls It a ‘Hustle’,Dogecoin Goes on Wild Weekend Ride as Musk Calls It a ‘Hustle’bloomberg.com,https://www.bloomberg.com/news/articles/2021-05-09/dogecoin-goes-on-wild-weekend-ride-as-musk-calls-it-a-hustle,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i1HNMXwT0Bjs/v0/1200x801.jpg,2021-05-09T23:22:38Z,"Dogecoin investors had a wild ride this weekend.
After hitting a record Saturday ahead of Elon Musks appearance on Saturday Night Live, the digital currency began to fall hours before the show began… [+2338 chars]",bloomberg,Bloomberg
7,,"As Scrutiny of Cryptocurrency Grows, the Industry Turns to K Street (Eric Lipton/New York Times)","Eric Lipton / New York Times:
As Scrutiny of Cryptocurrency Grows, the Industry Turns to K Street  —  Companies behind digital currencies are rushing to hire well-connected lobbyists, lawyers and consultants as the battle over how to regulate them intensifies…",https://www.memeorandum.com/210509/p54,https://static01.nyt.com/images/2021/05/09/us/09dc-lobby/08dc-lobby-facebookJumbo.jpg,2021-05-09T23:20:00Z,"memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.
Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]",,Memeorandum.com
8,"Alyssa McDonald, Tracy Alloway",Five Things You Need to Know to Start Your Day,Unused Covid shots are piling up in Hong Kong as millions refuse to get vaccinated. Singapore's stellar stock run hits a speed bump. Elon Musk's TV appearance erases Dogecoin gains. Here's what you need to know to start your day.,https://www.bloomberg.com/news/newsletters/2021-05-09/five-things-you-need-to-know-to-start-your-day,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i112Ofs3CEOc/v0/1200x800.jpg,2021-05-09T23:15:39Z,Unused Covid shots are piling up in Hong Kong as millions refuse to get vaccinated. Singapore's stellar stock run hits a speed bump. Elon Musk's TV appearance erases Dogecoin gains. Here's what you n… [+4662 chars],bloomberg,Bloomberg
9,Jacob Bliss,"Report: DarkSide Hackers Committed ‘Double Extortion,’ Stealing Data",Hackers stole data during the Colonial Pipeline cyberattack Thursday ahead of the pipeline operator shutting down from the apparent attack.,https://www.breitbart.com/crime/2021/05/09/report-darkside-hackers-committed-double-extortion-stealing-data/,https://media.breitbart.com/media/2020/10/GettyImages-503000204-640x335.png,2021-05-09T23:13:44Z,"Hackers stole data during the Colonial Pipeline cyberattack Thursday ahead of the pipeline operator shutting down from the apparent attack, according to news reports.
The hackers of the 5,500 miles … [+2260 chars]",breitbart-news,Breitbart News
10,Mike Murphy,Cryptos: Elon Musk’s SpaceX to send dogecoin-funded satellite to the moon,"Elon Musk may not have sent dogecoin's price to the moon with his ""Saturday Night Live"" appearance, but his SpaceX will accept the cryptocurrency to fund a lunar mission next year.",https://www.marketwatch.com/story/elon-musks-spacex-to-send-dogecoin-funded-satellite-to-the-moon-11620601754,https://images.mktw.net/im-329374/social,2021-05-09T23:09:00Z,"Elon Musk may not have sent dogecoins price to the moon with his Saturday Night Live appearance, but his SpaceX will accept the cryptocurrency to fund a lunar mission next year.In a statement Sunday,… [+1355 chars]",,MarketWatch
11,"Addy Bink, Nexstar Media Wire",What is Dogecoin and why is Elon Musk associated with it?,"In 2013, before the likes of Tiktok, memes were all the rage. From Miley Cyrus swinging on a wrecking ball to a screengrab of surprised Spongebob and Patrick, the Internet couldn’t get enough of the ironic text-over-photo fad in the early 2010s.",https://www.yourbasin.com/news/what-is-dogecoin-and-why-is-elon-musk-associated-with-it/,https://www.yourbasin.com/wp-content/uploads/sites/78/2021/05/AP21110564598724.jpg?w=1280,2021-05-09T23:06:58Z,"(ABC4) – In 2013, before the likes of Tiktok, memes were all the rage. From Miley Cyrus swinging on a wrecking ball to a screengrab of surprised Spongebob and Patrick, the Internet couldn’t get enoug… [+3547 chars]",,KMID - Local 2 News
12,Editorial Team,Nuvei agrees $250m deal to buy crypto firm Simplex,"Canadian payments firm Nuvei has agreed a $250 million cash deal to acquire Simplex, a fintech startup providing fiat infrastructure to the cryptocurrency industry.",https://www.finextra.com/newsarticle/38010/nuvei-agrees-250m-deal-to-buy-crypto-firm-simplex,https://www.finextra.com/finextra-images/top_pics/xl/bitcoin-3.jpg,2021-05-09T23:05:02Z,"Canadian payments firm Nuvei has agreed a $250 million cash deal to acquire Simplex, a fintech startup providing fiat infrastructure to the cryptocurrency industry.
Founded in 2014, Simplex provides… [+1130 chars]",,Finextra
13,Garth Franklin,"Elon Musk’s SNL – Ratings Up, Dogecoin Down","Tesla and SpaceX CEO and controversial billionaire Elon Musk hosted NBC’s “Saturday Night Live” last night. Reviews were soft, THR summing up the reaction best as “more forgettable than controversial”. Nonetheless, the episode pulled in the third-highest over…",https://www.darkhorizons.com/elon-musks-snl-ratings-up-dogecoin-down/,https://cdn.darkhorizons.com/wp-content/uploads/2021/05/elon-musks-snl-ratings-up-dogecoin-down.jpg,2021-05-09T23:04:53Z,"Tesla and SpaceX CEO and controversial billionaire Elon Musk hosted NBC’s “Saturday Night Live” last night. Reviews were soft, THR summing up the reaction best as “more forgettable than controversial… [+1038 chars]",,Dark Horizons
14,Reuters,SpaceX accepts dogecoin as payment to launch lunar mission next year By Reuters - Investing.com,"<ol><li>SpaceX accepts dogecoin as payment to launch lunar mission next year By Reuters  Investing.com
</li><li>SpaceX accepts Dogecoin as payment to launch 'DOGE-1 mission to the Moon' next year  CNBC
</li><li>Elon Musk’s SpaceX is literally launching a Do…",https://www.investing.com/news/stock-market-news/spacex-accepts-dogecoin-as-payment-to-launch-a-lunar-mission-next-year-2500497,https://i-invdn-com.akamaized.net/news/LYNXNPEB6U08A_L.jpg,2021-05-09T23:02:00Z,"(Reuters) -SpaceX will launch the ""DOGE-1 Mission to the Moon"" in the first quarter of next year, with Elon Musk's commercial rocket company accepting the meme-inspired cryptocurrency dogecoin as pay… [+1497 chars]",,Investing.com
15,Reuters,SpaceX to accept dogecoin as payment to launch lunar mission in 2022: Musk,"Crypto currency lost more than a third of its price on Sunday, after the businessman called it a 'hustle'",https://www.business-standard.com/article/companies/spacex-to-accept-dogecoin-as-payment-to-launch-lunar-mission-in-2022-musk-121051000052_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2021-01/27/full/1611730367-2978.jpg,2021-05-09T22:59:00Z,"paceX will launch the ""DOGE-1 Mission to the Moon"" in the first quarter of next year, with Elon Musk's commercial rocket company accepting the meme-inspired cryptocurrency dogecoin as payment.
""Spac… [+2890 chars]",,Business Standard
16,Singular Research,Coinbase: Poised For Long-Term Growth From Continued Customer Experience Obsession,We believe the movement of large corporations broadening their product offerings and investing capital in this space is a strong affirmation of Bitcoin in the crypto space.,https://seekingalpha.com/article/4426639-coinbase-poised-for-long-term-growth-from-continued-customer-experience-obsession,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1252711675/large_image_1252711675.jpg,2021-05-09T22:51:58Z,"Photo by peterschreiber.media/iStock via Getty Images
Coinbase (NASDAQ:COIN) is an investment play on the growing adoption and acceptance of cryptocurrency. We note that the preliminary Q1:21 result… [+19831 chars]",,Seeking Alpha
17,CBS News,Global insights from Signal,"In todays global headlines, Venezuela's socialist president, Nicolas Maduro, has proposed a new form of cryptocurrency called ""petro,"" President Trump weighs action on Iran sanctions, and Japan has a new pop group called the ""Virtual Currency Girls."" Joining …",https://www.cbsnews.com/video/global-insights-from-signal/,https://cbsnews3.cbsistatic.com/hub/i/r/2018/01/12/618d4a52-f606-4794-b7ae-7ddc5477e3df/thumbnail/1200x630/583e8c6a266918086bbd0bdf61b6f6b0/0112-cbsn-signalglobalheads-1480661-640x360.jpg,2021-05-09T22:39:11Z,"Watch CBSN Live
Copyright © 2021 CBS Interactive Inc. All rights reserved.
Get browser notifications for breaking news, live events, and exclusive reporting.
Not NowTurn On",cbs-news,CBS News
18,Opinion by Dean Obeidallah,Elon Musk's big mistake on 'SNL',"Dean Obeidallah writes that the most astounding moment during Elon Musk's hosting of ""Saturday Night Live"" was his failure to apologize outright for his horribly irresponsible comments downplaying the risks of Covid-19 and his insensitive remarks about the tr…",https://www.cnn.com/2021/05/09/opinions/elon-musk-snl-mistake-obeidallah/index.html,https://cdn.cnn.com/cnnnext/dam/assets/210509041610-01-elon-musk-snl-0508-restricted-super-tease.jpg,2021-05-09T22:37:28Z,"Dean Obeidallah, a former attorney, is the host of SiriusXM radio's daily program ""The Dean Obeidallah Show"" and a columnist for The Daily Beast. Follow him @DeanObeidallah. The opinions expressed in… [+4638 chars]",cnn,CNN
19,Al Root,Dogecoin Drops After Elon Musk Hosts SNL. It's a Reminder to 'Sell the News.' - Barron's,"<ol><li>Dogecoin Drops After Elon Musk Hosts SNL. It's a Reminder to 'Sell the News.'  Barron's
</li><li>Elon Musk reveals he has Asperger's syndrome during SNL monologue: Watch it here  CNET
</li><li>What the dogecoin army is saying as the cryptocurrency's…",https://www.barrons.com/articles/dogecoin-drops-after-elon-musks-snl-appearance-its-a-reminder-to-sell-the-news-51620599780,https://images.barrons.com/im-334299/social,2021-05-09T22:36:00Z,"Meme-based cypto currency Dogecoin is falling after 
 Tesla
 CEO 
 Elon Musk
 s performance hosting Saturday Night Live. Right now, its a painful lesson to new cryptocurrency investors that marke… [+1641 chars]",,Barron's
